Accessibility settings
AccessibilityShortcutsEnabled	Enable accessibility features shortcuts
AutoclickEnabled	Enable the autoclick accessibility feature
CaretHighlightEnabled	Enable the caret highlight accessibility feature
ColorCorrectionEnabled	Enable the color correction accessibility feature
CursorHighlightEnabled	Enable the cursor highlight accessibility feature
DeviceLoginScreenAccessibilityShortcutsEnabled	Enable accessibility features shortcuts on the login screen
DeviceLoginScreenAutoclickEnabled	Enable autoclick on the login screen
DeviceLoginScreenCaretHighlightEnabled	Enable caret highlight on the login screen
DeviceLoginScreenCursorHighlightEnabled	Enable the cursor highlight on the login screen
DeviceLoginScreenDefaultHighContrastEnabled	Set the default state of high contrast mode on the login screen
DeviceLoginScreenDefaultLargeCursorEnabled	Set default state of the large cursor on the login screen
DeviceLoginScreenDefaultScreenMagnifierType	Set the default screen magnifier type enabled on the login screen
DeviceLoginScreenDefaultSpokenFeedbackEnabled	Set the default state of spoken feedback on the login screen
DeviceLoginScreenDefaultVirtualKeyboardEnabled	Set default state of the on-screen keyboard on the login screen
DeviceLoginScreenDictationEnabled	Enable the dictation on the login screen
DeviceLoginScreenFaceGazeEnabled	Enable face control on the login screen
DeviceLoginScreenHighContrastEnabled	Enable the high contrast on the login screen
DeviceLoginScreenKeyboardFocusHighlightEnabled	Enable the keyboard focus highlighting accessibility feature
DeviceLoginScreenLargeCursorEnabled	Enable the large cursor on the login screen
DeviceLoginScreenMonoAudioEnabled	Enable mono audio on the login screen
DeviceLoginScreenScreenMagnifierType	Set the screen magnifier type on the login screen
DeviceLoginScreenSelectToSpeakEnabled	Enable the select to speak on the login screen
DeviceLoginScreenShowOptionsInSystemTrayMenu	Show accessibility options in system tray menu in the login screen
DeviceLoginScreenSpokenFeedbackEnabled	Enable the spoken feedback on the login screen
DeviceLoginScreenStickyKeysEnabled	Enable sticky keys on the login screen
DeviceLoginScreenVirtualKeyboardEnabled	Enable the accessibility virtual keyboard on the login screen
DictationEnabled	Enable the dictation accessibility feature
EnhancedNetworkVoicesInSelectToSpeakAllowed	Allow the enhanced network text-to-speech voices in Select-to-speak
FaceGazeEnabled	Enable the face control accessibility feature
FloatingAccessibilityMenuEnabled	Enables the floating accessibility menu
HighContrastEnabled	Enable high contrast mode
KeyboardDefaultToFunctionKeys	Media keys default to function keys
